"";"Smoking behaviour, 12 years or older|Smoking status|Smokers";"Smoking behaviour, 12 years or older|Smoking status|Former smokers";"Smoking behaviour, 12 years or older|Smoking status|Never smokers";"Alcohol consumption, 12 years or older|Drink status|Drinkers";"Alcohol consumption, 12 years or older|Drink status|Former drinkers";"Alcohol consumption, 12 years or older|Drink status|Never drinkers";"Drug use, 12 years or older|Use of cannabis|Ever";"Drug use, 12 years or older|Use of amphetamine|Ever";"Drug use, 12 years or older|Use of ecstasy|Ever";"Drug use, 12 years or older|Use of cocaine|Ever";"Drug use, 12 years or older|Drugs total, excluding laughing gas|Last month";"Drug use, 12 years or older|Drugs total, excluding laughing gas|Last year";"Drug use, 12 years or older|Drugs total, excluding laughing gas|Ever";"Length and weight|Under-/overweight, 4 years or older|Underweight";"Length and weight|Under-/overweight, 4 years or older|Normal weight";"Length and weight|Under-/overweight, 4 years or older|Overweight";"Physical activity, 4 years or older|Physical activity guidelines|Comply with physical activity guidelines";"Nutrition, 1 year or older, from 2023|Fish/meat/vegetarian/vegan|Pescotarian";"Nutrition, 1 year or older, from 2023|Fish/meat/vegetarian/vegan|Vegetarian";"Nutrition, 1 year or older, from 2023|Fish/meat/vegetarian/vegan|Vegan";"Nutrition, 1 year or older, from 2023|Consumption of  fruit|At least 5 days a week sufficient fruit";"Nutrition, 1 year or older, from 2023|Consumption  of  vegetables|At least 5 days/wk sufficient vegetables";"Nutrition, 1 year or older, from 2023|Consumption of sugary drinks|Sugary drinks: glasses per week ";"Influenza inoculation, 16 years or older"
"Sex: Male";"19.5";"32.3";"48.2";"77.5";"11.0";"11.4";"26.7";"7.2";"13.3";"9.4";"7.5";"12.9";"29.2";"2.1";"50.6";"47.3";"49.4";"1.3";"1.2";"0.5";"26.8";"42.3";"6.0";"25.2"
"Sex: Female";"15.3";"29.7";"55.0";"68.6";"15.0";"16.4";"17.6";"3.5";"8.3";"4.5";"3.5";"7.0";"20.0";"2.7";"55.0";"42.3";"43.0";"2.7";"3.1";"0.5";"31.5";"43.9";"3.9";"27.6"
"Age: 0 to 3 years";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"0.2";"1.0";"0.8";"53.9";"92.5";"3.4";"."
"Age: 4 to 11 years";".";".";".";".";".";".";".";".";".";".";".";".";".";"9.5";"75.9";"14.6";"61.5";"1.0";"2.3";"0.4";"41.6";"73.9";"7.4";"."
"Age: 12 to 15 years";"3.3";"1.5";"95.2";"16.9";"10.7";"72.4";"2.5";"0.6";"0.6";"0.5";"1.9";"2.1";"2.9";"3.7";"84.1";"12.3";"43.1";"0.9";"1.0";"0.7";"16.5";"45.5";"8.2";"."
"Age: 16 to 19 years";"16.4";"7.5";"76.1";"62.2";"8.8";"28.9";"18.5";"1.3";"4.9";"2.0";"7.7";"13.6";"20.9";"2.7";"79.7";"17.7";"48.0";"1.0";"2.1";"0.5";"21.4";"30.4";"9.0";"5.1"
"Age: 20 to 29 years";"25.7";"12.4";"61.8";"82.3";"8.2";"9.5";"43.8";"11.3";"27.4";"13.6";"15.2";"28.7";"49.8";"3.9";"65.7";"30.4";"51.5";"2.1";"4.8";"0.9";"24.1";"36.3";"6.8";"4.7"
"Age: 30 to 39 years";"23.3";"21.3";"55.4";"78.1";"11.8";"10.1";"37.2";"12.8";"22.9";"15.9";"9.6";"17.3";"41.8";"1.6";"53.4";"45.0";"47.1";"3.3";"2.9";"0.7";"28.1";"40.2";"5.5";"7.0"
"Age: 40 to 49 years";"20.0";"29.6";"50.4";"75.6";"12.9";"11.5";"30.8";"6.9";"13.5";"9.8";"5.1";"8.2";"32.8";"1.3";"44.5";"54.3";"46.0";"1.9";"1.9";"0.7";"26.3";"39.0";"5.0";"7.1"
"Age: 50 to 54 years";"20.7";"31.4";"48.0";"77.6";"11.9";"10.4";"22.6";"4.5";"9.1";"6.0";"2.9";"6.3";"24.5";"0.8";"41.0";"58.1";"41.3";"1.7";"1.5";"0.2";"31.5";"39.6";"4.3";"12.0"
"Age: 55 to 64 years";"16.3";"38.2";"45.5";"74.6";"15.4";"10.1";"11.2";"1.2";"2.0";"2.4";"1.8";"2.4";"12.3";"0.7";"38.0";"61.3";"44.9";"2.4";"1.6";"0.6";"28.6";"42.1";"3.3";"33.7"
"Age: 65 to 74 years";"11.5";"57.2";"31.2";"78.5";"14.9";"6.6";"8.0";"0.8";"0.8";"1.5";"0.6";"1.3";"8.8";"1.0";"40.1";"58.8";"45.6";"2.1";"1.5";"0.1";"28.9";"40.9";"2.3";"64.9"
"Age: 75 years or older";"6.6";"57.2";"36.2";"69.0";"20.3";"10.7";"1.8";"0.4";"0.2";"0.2";"0.3";"0.9";"2.5";"1.2";"43.4";"55.4";"30.6";"1.8";"0.9";"0.0";"31.3";"30.2";"2.5";"75.9"
"Pre-primary and primary education";"23.7";"38.3";"37.9";"54.9";"19.3";"25.8";"11.2";"3.3";"4.5";"4.3";"4.2";"6.5";"12.3";"1.0";"32.9";"66.1";"28.2";"1.0";"2.3";"0.5";"24.4";"29.5";"4.5";"39.7"
