"Timestamp","What is your age? (optional)","Indicate your level of experience in the domain of datapack development.","How many datapacks have you released?","Indicate your familiarity with computer programming outside of minecraft datapacks","How often do you develop datapacks as a hobby (with no financial compensation)?","How often do you develop datapacks for financial compensation (for other people)?","Which code editor(s) do you use? (select all the apply)","Which productivity features from your code editor do you value? (select all that apply and are present in your code editor)","Do you use a precompiler or external scripts to automate file generation?","How often do you rely on libraries (player motion, string uuid, floating point math...) written by others?","How often do you use LLMs (AI chatbots, agentic coding) to write datapack code?","How many people do you usually work with in datapack development (excluding yourself)?","Indicate which features from a formal version control system (such as Git) you use to manage your codebase and track changes? (leave blank if none apply)","Do you release your datapacks in cycles (iteratively, excluding beta tests), or do you release them only once they are ready?","If you work in a group, what type of software development process do you use? (leave blank if you work alone)","How often do you comment your code?","If you comment, how much do you comment your code?","How many beta testers test your code quality and project functionality before release?","On average, how long do you spend maintaining a datapack (fixing bugs, updating to new Minecraft versions) after its initial release?","Estimate the percentage of time optimization/refactoring consumes in your datapack development process","To which coding conventions to you adhere to? (select all that apply)","How do you track and manage bugs or feature requests from your users (e.g., GitHub Issues, Discord channels, informal feedback)?","Open space for comments on methodologies, software processes, whatever you think could help me.","Open space for comments on what part of developing datapacks you dislike the most"
"2026/05/27 5:14:40 pm CET","","4","1","4","3","3","Default text editor","File creation","I only write in plain mcfunction","3","1","3","To host my wiki;To use a project board;To track bugs and issues","3","Unstructured meetings","6","6","2","I am still actively maintaining it","20","Smithed","Discord channels;Informal Feedback;In person friend feedback","",""
"2026/05/27 5:15:39 pm CET","24","7","50","6","6","3","VSCode with datapack specific extensions","File creation;Syntax highlighting","Precompiler (Beet, Kore, CBScript,..)","3","1","5","To store and recover my code;To use different branches;To have access to previous versions of my code;To use a CI/CD pipeline;To track bugs and issues;To label and host releases of your datapack","5","Structured meetings","6","4","2","I am still actively maintaining it","20","Smithed;Namespacing","Github Issues;Discord channels;Informal Feedback","For working with a group, one of the more interesting aspects is setting up a server that automatically pulls a built data pack from a GitHub repo. For example, Summit is doing a lot of collaborative development and while git is good for version control and collaboration on the codebase, the fact that we can all push directly to the server is vital for quick iteration. Otherwise the process ends up being one developer working on a specific feature locally, then pushing all of their changes at once to the server when it's complete.",""
"2026/05/27 5:19:32 pm CET","25","5","1","6","6","1","VSCode with datapack specific extensions","Code completion;Syntax highlighting;Syntax validation","I only write in plain mcfunction","1","1","0","To store and recover my code;To have access to previous versions of my code","1","","4","1","30","Until the next update that forces me to rewrite a majority of the code","70","Smithed;Namespacing","Informal Feedback;In person friend feedback","I use multiple namespaces because it's easier to manage for my brain. Most people would have stroke reading my code (Grimwart creator)
I mostly use VSCodium with Spyglass and a custom python script to duplicate my datapack and resourcepack and update it on my git. So pretty basic tools overall.","We still don't have data driven blocks or entities"
"2026/05/27 5:21:42 pm CET","23","6","4","6","7","2","VSCode with datapack specific extensions","Code completion;File creation;Syntax highlighting;Syntax validation","External scripts (python to generate repetitive commands, files,...)","6","1","0","To store and recover my code;To have access to previous versions of my code;To host my wiki;To use a CI/CD pipeline;To track bugs and issues;To label and host releases of your datapack","1","","2","1","4","I stop as soon as it's released","60","Smithed;Namespacing","Github Issues;Discord channels","me and some people i know use a standardized structure for managing datapack structure. This has the goal of making the structure homogeneous and improve performance. I tried precompilers but i feel that most of them have very limited documentation so it was hard to use them to their fullest. ","The fact that each function has to be in its own file, there is no option to write ""inline"" data files, limited math capabilities (only ints), "
"2026/05/27 5:22:02 pm CET","20","6","5","6","6","1","Notepad++;VSCode with datapack specific extensions","Syntax highlighting","Precompiler (Beet, Kore, CBScript,..)","6","1","0","To store and recover my code;To use different branches;To have access to previous versions of my code","5","","4","1","2","Until I get bored of the specific datapack","30","Smithed;Namespacing","Informal Feedback;In person friend feedback","With the time I've been developing with Beet, I've been slowly building my own private library to generate files like sounds.json and some aid in writing long commands, though I generally try not to abstract too much of the mcfunction parts because I like knowing exactly what's happening in the code, this way it's easier to make performance adjustments.","I really don't like how each function needs its own file, which is why I use the Beet + Bolt toolchain, it's just more confortable for me to develop this way. "
"2026/05/27 5:24:37 pm CET","23","6","17","6","7","1","VSCode with datapack specific extensions","Code completion;Syntax highlighting;Syntax validation","External scripts (python to generate repetitive commands, files,...)","2","1","1","To store and recover my code;To have access to previous versions of my code","4","Unstructured meetings","6","2","3","I am still actively maintaining it","30","Namespacing","Discord channels","","The lack of some very basic programming functionality that has to be worked around (for and while loops, executing multiple commands from a single if statement), as well as hardcoded behaviour."
"2026/05/27 5:27:22 pm CET","22","6","4","5","7","1","VSCode with datapack specific extensions","Code completion;Syntax highlighting;Syntax validation","External scripts (python to generate repetitive commands, files,...)","1","2","1","To store and recover my code;To have access to previous versions of my code;To host my wiki;To track bugs and issues;To label and host releases of your datapack","3","Unstructured meetings","5","4","3","I am still actively maintaining it","70","Smithed","Github Issues;Discord channels;Informal Feedback","",""
"2026/05/27 5:31:41 pm CET","28","5","1","6","5","1","VSCode with datapack specific extensions","Code completion;Syntax highlighting;Syntax validation","External scripts (python to generate repetitive commands, files,...)","2","1","0","To store and recover my code;To have access to previous versions of my code;To track bugs and issues;To label and host releases of your datapack","7","","5","4","100","I am still actively maintaining it","5","Namespacing;IMP doc","Github Issues;Discord channels;Informal Feedback","If you don't know them, there are a bunch of MC mods like NBT autocomplete, and also “better suggestions”, although the latter has been discontinued since somewhere around 1.21.5","Well I mean it's barely a programming language I guess :D. Even doing simple math operations is kinda painful, having to have a line for each operation, and using a bunch of tmp variables in the process.

No real function arguments beyond convention (and macros which you should also avoid if possible for performance).

Having to create a separate function files when you want to execute multiple commands based on an condition (or in general executing as the same entity, or the same context).

No if else.

No floating point arithmetic (in general, only signed 32 bit integers, even though some places use 64 bit)

And probably a lot more :D"
"2026/05/27 5:40:38 pm CET","18","6","19","4","4","1","Default text editor;VSCode with datapack specific extensions","Code completion;Syntax highlighting;Syntax validation","External scripts (python to generate repetitive commands, files,...)","2","1","0","To use different branches;To host my wiki;To track bugs and issues","3","","2","1","0","Depends on how much I like the pack. I've completely rewritten some packs multiple times and just abandoned others after they broke for the first time","30","Namespacing;Smithed for specific packs, mostly just namespacing","Github Issues;Discord channels;Informal Feedback","","Sometimes I wish there was some way to connect to the internet via APIs/HTTPs requests, though it makes sense why they would limit that ability. Not being able to directly modify player data is about as annoying as being unable to directly add new functionality to the game (custom items in the creative menu/custom blocks in worldgen, the same goes for custom entities, which are not currently officially supported.)"
"2026/05/27 5:41:37 pm CET","26","6","7","7","5","1","VSCode with datapack specific extensions","Code completion;Syntax highlighting;Syntax validation","Precompiler (Beet, Kore, CBScript,..)","4","1","4","To store and recover my code;To use different branches;To have access to previous versions of my code;To use a CI/CD pipeline","6","Unstructured meetings","5","3","3","I am still actively maintaining it","50","Smithed;Namespacing","Github Issues;Discord channels;Informal Feedback","Most projects I produce aren't big enough to warrant any rigid software development processes like agile and scrum, nor am I working with enough people actively that would require them. If I were working with 5+ devs on the same project, then that level of management might be useful but you keep in mind the amount of time overhead they can generate",""
