Study,Status,Projects,Supported smells,Other important properties,Download link
S1,available,30,14,"• 17,350 code smell instances, • .csv files",https://dibt.unimol.it/staff/fpalomba/reports/badSmell-analysis/index.html
S2,available,30,14,"• 40,888 code smell instances, • .csv files",http://www.mediafire.com/file/mzyr95cgmrbym19/dataset.zip/file
S3,obsolete,20,5,243 code smell instances,https://www.sesa.unisa.it/landfill/
S4,available,74,6,"• 1,986 code smell and non-smell instances, • 61 metrics for class and 82 metrics for method, • .csv files",http://essere.disco.unimib.it/reverse/MLCSD.html
S5,available,76,4,"• 1,986 code smell and non-smell instances
• 63 metrics for class smells and eight metrics for method smells, • 4 severity levels, • .csv files",http://essere.disco.unimib.it/reverse/MLCSD.html
S6,available,281,1,"• Long method instances, • PMD, Iplasma, Marinescu, Designite output for instance, • .csv files",http://madeyski.e-informatyka.pl/download/GrodzickaEtAl19DataSet.zip
S7,available,74,4,"• 4 datasets each 840 instances, • 140 with specific smell and 700 without it, • 61 class metrics and 82 method metrics, • .csv files",https://figshare.com/articles/dataset/Detecting_Code_Smells_using_Machine_Learning_Techniques_Are_We_There_Yet_/5786631
S8,available,30,23,"• 37,553 code smell instances, • 1,840,217 technical debts, • 5 severity levels • 30 metrics, • .db file",https://github.com/clowee/The-Technical-Debt-Dataset
S9,available,74,2,"• 445 instances of multi-label smells and non-smells, • 2 labels, • 4 sets of labels, • 46 metrics, • .csv files",https://github.com/thiru578/Multilabel-Dataset
S10,available,523,4,"• 14,739 instances, • 3,291 code smell instances
• 4 severity levels, • .xlsx files",https://zenodo.org/record/3666840#.YPbTXugzblU
S12,available,13,5,"• 8,534 code smell instances and non-smell instances, • Naive Bayes and Décor outputs on instances, • .csv files",https://figshare.com/s/9d086c96eb1e58350f3d
S19,available,8,2,"• 262 smelly samples, • 11 metrics, • .txt files",https://github.com/antoineBarbez/SMAD
S22,available,3,4,"• 3,162 instances, • 50 metrics, • .csv and .arrf files",http://www.ptidej.net/download/experiments/wcre12a
S23,available,2,3,"• 777 instances, • 147 smell instances, • Décor output, • Metrics, • .xls files",http://www.ptidej.net/downloads/experiments/jss10
S30,available,2,1,"• 777 instances, • 19 smell instances, • The probability that the class exhibiting the symptoms (smell) of a god class is truly a god class, • .xls files",http://www.ptidej.net/downloads/experiments/qsic09
S32,available,4,12,"• Smell and non-smell instances, • Multi-label, • .csv files",http://www.ptidej.net/downloads/replications/emse10
S33,available,11,4,"• Smell instances, • .ini files",http://www.ptidej.net/research/designsmells
S34,available,9,4,"• Smell instances, • Five levels of severity, • 20 metrics, • Including projects source code, • .csv files",https://figshare.com/s/94c699da52bb7b897074
S37,available,11,6,"• Smell instances, • .csv files",https://figshare.com/articles/dataset/Toward_a_Smell-aware_Bug_Prediction_Model/4542709
S38,available,20,4,"• Smell instances, • Result of multiple smell detection tools, • .csv files",https://dvscross.github.io/BadSmellsDetectionStudy/
S39,obsolete,9,5,"• 4 severity levels, • 4,267 smell instances","https://goo.gl/GsPb1B,%E2%80%9D%202017"
S40,obsolete,2,3,60 smells instances,http://sofa.uqam.ca/paprika/mobilesoft16.phpCodeSmells
S41,obsolete,8,5,—,http://www.rcost.unisannio.it/mdipenta/papers/ase2013/
S42,available,2,29,"• Smells as features (multi-label), • .csv files, • High number of smells",https://www.ptidej.net/downloads/replications/wcre09a/
S44,available,10,4,"• Refactoring opportunities binary labels, • .sql files",https://github.com/liuhuigmail/DeepSmellDetection
